title,ingredients_raw,instructions,image_name,base_servings,prep_time,cook_time,taste_profile,texture_profile,memory_description,similar_dishes,substitution_options,retrieval_text
California Sushi Roll,"1 cup jasmine rice | 1 ½ cups water | ½ cup rice vinegar | 2 tablespoons white sugar | 2 teaspoons salt | 3 sheets nori (dry seaweed) | 1 cucumber, sliced lengthwise | 2 sticks imitation crab, sliced lengthwise",,california_sushi_roll.jpg,24,10.0,20.0,"Crab, avocado, cucumber, sushi rice","Fresh, rolled, perfect",The sushi roll that started it all.,"Sushi Rolls, California Roll, Maki",Substitute imitation crab with real crab; use any vegetables.,"Title: California Sushi Roll. Taste: Crab, avocado, cucumber, sushi rice. Texture: Fresh, rolled, perfect. Memory: The sushi roll that started it all.. Similar dishes: Sushi Rolls, California Roll, Maki"
Easy Baked Ground Chicken Burgers,"2 pounds ground chicken | ½ cup dry bread crumbs | ¼ cup dry French onion soup mix | 4 ounces bacon, roughly chopped | 2 tablespoons butter | 1 small onion, sliced | 1 cup sliced mushrooms | salt and ground black pepper to taste | 6 croissants, halved and toasted | 6 slices Swiss cheese | 6 slices bacon, halved and cooked",,easy_baked_ground_chicken_burgers.jpg,6,20.0,20.0,"Savory chicken, bacon, mushrooms, Swiss",Juicy burgers on croissants,"The fancy chicken burger that's baked, not fried.","Chicken Burgers, Sliders, Baked Burgers",Substitute chicken with turkey; use any cheese.,"Title: Easy Baked Ground Chicken Burgers. Taste: Savory chicken, bacon, mushrooms, Swiss. Texture: Juicy burgers on croissants. Memory: The fancy chicken burger that's baked, not fried.. Similar dishes: Chicken Burgers, Sliders, Baked Burgers"
Most Amazing Sangria Recipe Ever!,"4 ½ cups red wine | ¾ cup ginger ale | ½ cup orange juice | 2 fluid ounces brandy | 1 fluid ounce triple sec (orange-flavored liqueur) | 1 teaspoon white sugar | 1 pinch ground cinnamon | 2 cups crushed ice | ½ Granny Smith apple, diced",,most_amazing_sangria_recipe_ever.jpg,6,10.0,,"Fruity red wine, brandy, citrus, apple","Cold, fruity, boozy",The sangria that lives up to its name.,"Sangria, Red Sangria, Spanish Punch",Substitute any fruit; use any wine.,"Title: Most Amazing Sangria Recipe Ever!. Taste: Fruity red wine, brandy, citrus, apple. Texture: Cold, fruity, boozy. Memory: The sangria that lives up to its name.. Similar dishes: Sangria, Red Sangria, Spanish Punch"
Homestead Cowboy Beans,"1 pound bacon | 2 pounds ground beef | 1 large onion, chopped | 1 cup ketchup | ⅓ cup brown sugar | 1 (55 ounce) can baked beans (such as Bush's®) | 2 (15 ounce) cans Great Northern beans | 1 (15 ounce) can pinto beans | 1 (15 ounce) can pork and beans",,homestead_cowboy_beans.jpg,12,10.0,250.0,"Savory bacon, ground beef, sweet, smoky","Thick, hearty, beany",The cowboy beans that are a meal in themselves.,"Baked Beans, Cowboy Beans, Ranch Beans",Substitute ground beef with sausage; use any beans.,"Title: Homestead Cowboy Beans. Taste: Savory bacon, ground beef, sweet, smoky. Texture: Thick, hearty, beany. Memory: The cowboy beans that are a meal in themselves.. Similar dishes: Baked Beans, Cowboy Beans, Ranch Beans"
Sous Vide Pork Tenderloin,"½ cup finely chopped yellow onion | ⅓ cup dry white wine | ¼ cup unsalted butter | ¼ cup Dijon mustard | 3 tablespoons white balsamic vinegar | 2 tablespoons lemon juice | 1 tablespoon whole grain mustard | 1 tablespoon turbinado sugar | 1 teaspoon lemon zest | 1 teaspoon kosher salt | 1 teaspoon dried tarragon, divided | 2 (1 pound) pork tenderloins | 2 tablespoons olive oil | 1 teaspoon ground black pepper | 1 cup heavy cream",,sous_vide_pork_tenderloin.jpg,8,30.0,55.0,"Savory pork, mustardy, creamy sauce","Perfectly tender, juicy",The pork that's impossible to overcook.,"Pork Tenderloin, Sous Vide Pork, Mustard Pork",Substitute pork with chicken; use any mustard.,"Title: Sous Vide Pork Tenderloin. Taste: Savory pork, mustardy, creamy sauce. Texture: Perfectly tender, juicy. Memory: The pork that's impossible to overcook.. Similar dishes: Pork Tenderloin, Sous Vide Pork, Mustard Pork"
Easy and Incredible Cinnamon Roll Bites,"1 (16.3 ounce) package refrigerated sweet Hawaiian biscuit dough (such as Pillsbury Grands!) | 4 tablespoons unsalted butter, melted | ⅓ cup white sugar | 1 tablespoon ground cinnamon | 1 cup powdered sugar | 2 tablespoons milk | 2 tablespoons unsalted butter, softened | 1 teaspoon vanilla extract",,easy_and_incredible_cinnamon_roll_bites.jpg,8,15.0,25.0,"Sweet cinnamon, buttery, glazed","Soft, bite-sized, addictive",The cinnamon rolls that come together in minutes.,"Cinnamon Rolls, Cinnamon Bites, Sweet Rolls",Substitute biscuit dough with crescent rolls; use any icing.,"Title: Easy and Incredible Cinnamon Roll Bites. Taste: Sweet cinnamon, buttery, glazed. Texture: Soft, bite-sized, addictive. Memory: The cinnamon rolls that come together in minutes.. Similar dishes: Cinnamon Rolls, Cinnamon Bites, Sweet Rolls"
Chocolate Beet Cake with Beet-Vanilla Glaze,"baking spray with flour | 1 ¾ cups all-purpose flour | 1 cup unsweetened cocoa powder | 2 teaspoons baking soda | 1 teaspoon baking powder | ½ teaspoon salt | 4 large eggs, separated, at room temperature | 1 cup firmly packed brown sugar | 1 cup white sugar | ½ cup unsalted butter, at room temperature | ¼ cup vegetable oil | 1 ¼ cups pureed cooked beets | 1 tablespoon vanilla extract | 1 cup buttermilk, at room temperature | 1 ½ cups chocolate chips | 1 cup powdered sugar | 2 tablespoons heavy cream | 2 teaspoons pureed cooked beets | 1 teaspoon vanilla extract | 1 pinch salt",,chocolate_beet_cake_with_beet_vanilla_glaze.jpg,12,30.0,55.0,"Rich chocolate, earthy beets, vanilla","Moist, tender, vibrant",The cake that hides vegetables deliciously.,"Chocolate Cake, Beet Cake, Vegetable Cake",Substitute beets with carrots; use any glaze.,"Title: Chocolate Beet Cake with Beet-Vanilla Glaze. Taste: Rich chocolate, earthy beets, vanilla. Texture: Moist, tender, vibrant. Memory: The cake that hides vegetables deliciously.. Similar dishes: Chocolate Cake, Beet Cake, Vegetable Cake"
BBQ Meatball Sliders,"12 frozen 1-inch party meatballs | 1 (18 ounce) bottle BBQ sauce | 1 (12 count) package Hawaiian bread rolls | 3 tablespoons butter, melted, divided | 1 cup shredded sharp Cheddar cheese | 1 cup shredded Monterey Jack cheese | 12 dill pickle slices | ½ cup crispy onion strips | 3 tablespoons sliced green onions",,bbq_meatball_sliders.jpg,12,20.0,30.0,"Savory meatballs, BBQ sauce, cheesy",Tender meatballs on soft rolls,The party sliders that disappear instantly.,"Meatball Sliders, BBQ Meatballs, Sliders",Substitute frozen meatballs with homemade; use any cheese.,"Title: BBQ Meatball Sliders. Taste: Savory meatballs, BBQ sauce, cheesy. Texture: Tender meatballs on soft rolls. Memory: The party sliders that disappear instantly.. Similar dishes: Meatball Sliders, BBQ Meatballs, Sliders"
Chicken Florentine Dip,"2 (10.5 ounce) cans condensed, 98% fat-free cream of chicken soup with 30% less sodium | 9 ounces diced cooked chicken | 1 (8 ounce) container reduced-fat sour cream | 2 cups shredded part-skim mozzarella cheese | ½ cup skim milk, or more as needed | ½ cup grated Parmesan cheese | 1 (10 ounce) package frozen chopped spinach - thawed, drained, and squeezed dry",,chicken_florentine_dip.jpg,10,15.0,90.0,"Creamy chicken, spinach, cheesy","Hot, dippable, hearty",The spinach dip with chicken added.,"Spinach Dip, Chicken Dip, Hot Dip",Substitute chicken with artichokes; use any cheese.,"Title: Chicken Florentine Dip. Taste: Creamy chicken, spinach, cheesy. Texture: Hot, dippable, hearty. Memory: The spinach dip with chicken added.. Similar dishes: Spinach Dip, Chicken Dip, Hot Dip"
Mini Berry Pavlovas,"4 large egg whites | 1 cup white sugar | 1 teaspoon cornstarch | ½ teaspoon cream of tartar | 1 teaspoon vanilla extract | 1 pinch salt | 1 cup whipped cream, or more to taste | ¾ cup sliced fresh berries, or more to taste",,mini_berry_pavlovas.jpg,16,20.0,75.0,"Sweet meringue, tart berries, creamy","Crisp shell, soft center, fresh berries",The individual desserts that look so impressive.,"Pavlova, Berry Dessert, Meringue Dessert",Substitute any berries; use any cream.,"Title: Mini Berry Pavlovas. Taste: Sweet meringue, tart berries, creamy. Texture: Crisp shell, soft center, fresh berries. Memory: The individual desserts that look so impressive.. Similar dishes: Pavlova, Berry Dessert, Meringue Dessert"
Duck Fat Steak Fries,"2 large russet potatoes, each cut into 8 thick steak fry-size wedges | 1 tablespoon chopped fresh thyme | 1 pinch cayenne pepper | salt and ground black pepper to taste | 2 tablespoons duck fat, melted, or more to taste",,duck_fat_steak_fries.jpg,4,15.0,60.0,"Rich duck fat, potatoey, savory","Crispy exterior, fluffy interior",The fries that are worth saving duck fat for.,"Steak Fries, Duck Fat Fries, French Fries",Substitute duck fat with beef tallow; use any potatoes.,"Title: Duck Fat Steak Fries. Taste: Rich duck fat, potatoey, savory. Texture: Crispy exterior, fluffy interior. Memory: The fries that are worth saving duck fat for.. Similar dishes: Steak Fries, Duck Fat Fries, French Fries"
Beet and Goat Cheese Ravioli,"¾ pound fresh beets | 1 whole onion | 1 head garlic, unpeeled | ¼ teaspoon salt, or to taste | ¼ teaspoon ground black pepper, or to taste | 1 teaspoon chopped fresh dill (Optional) | 4 ounces goat cheese | 1 ½ cups all-purpose flour | 1 ½ cups whole wheat flour | ½ teaspoon salt | 3 large eggs, lightly beaten | ⅓ cup warm water, or as needed | 2 tablespoons unsalted butter | 2 sprigs chopped fresh dill, Optional | 2 ounces crumbled goat cheese, Optional",,beet_and_goat_cheese_ravioli.jpg,8,120.0,75.0,"Earthy beets, tangy goat cheese, herby",Tender pasta with creamy filling,The homemade ravioli that's worth the work.,"Ravioli, Beet Pasta, Goat Cheese Pasta",Substitute beets with spinach; use any cheese.,"Title: Beet and Goat Cheese Ravioli. Taste: Earthy beets, tangy goat cheese, herby. Texture: Tender pasta with creamy filling. Memory: The homemade ravioli that's worth the work.. Similar dishes: Ravioli, Beet Pasta, Goat Cheese Pasta"
Chocolate-Covered Strawberry Pie,"3 ounces semisweet chocolate, chopped, divided | 3 tablespoons butter, divided | 1 (10 inch) graham cracker pie crust | 2 (8 ounce) packages cream cheese, room temperature | 1 cup sour cream | ¼ cup white sugar | 1 teaspoon vanilla bean paste | 1 pound fresh strawberries, sliced | ¼ cup strawberry jam",,chocolate_covered_strawberry_pie.jpg,8,15.0,5.0,"Chocolate, fresh strawberries, creamy",Creamy pie with fresh fruit,The chocolate-covered strawberry in pie form.,"Strawberry Pie, Chocolate Pie, Cream Pie",Substitute strawberries with raspberries; use any chocolate.,"Title: Chocolate-Covered Strawberry Pie. Taste: Chocolate, fresh strawberries, creamy. Texture: Creamy pie with fresh fruit. Memory: The chocolate-covered strawberry in pie form.. Similar dishes: Strawberry Pie, Chocolate Pie, Cream Pie"
Teriyaki Shrimp Noodles,"8 ounces fresh udon noodles | ⅓ cup soy sauce | ¼ cup mirin (Japanese sweet wine) | ¼ cup sake (Japanese rice wine) | 4 cloves garlic, minced | 2 tablespoons brown sugar | 1 teaspoon freshly grated ginger | 1 tablespoon sesame oil | 1 pound uncooked large shrimp, peeled and deveined | 4 cups frozen stir-fry vegetables | 1 tablespoon thinly sliced green onion for garnish | toasted sesame seeds for garnish",,teriyaki_shrimp_noodles.jpg,4,10.0,10.0,"Sweet teriyaki, shrimp, vegetables",Chewy noodles with tender shrimp,The 15-minute stir-fry that beats takeout.,"Teriyaki Noodles, Shrimp Noodles, Stir-Fried Noodles",Substitute shrimp with chicken; use any vegetables.,"Title: Teriyaki Shrimp Noodles. Taste: Sweet teriyaki, shrimp, vegetables. Texture: Chewy noodles with tender shrimp. Memory: The 15-minute stir-fry that beats takeout.. Similar dishes: Teriyaki Noodles, Shrimp Noodles, Stir-Fried Noodles"
Grilled Shrimp Fajitas,"¼ cup vegetable oil | 2 tablespoons cider vinegar | 2 tablespoons water | 1 (1.06 ounce) package mojito lime marinade mix | 2 pounds raw jumbo shrimp, shelled and deveined | 1 serving cooking spray | 1 large onion, sliced into 1/2-inch rings | 2 yellow bell peppers, quartered | 2 red bell peppers, quartered | 1 (8 ounce) package fajita-size flour tortillas",,grilled_shrimp_fajitas.jpg,4,15.0,10.0,"Citrusy shrimp, grilled peppers, onions","Grilled, charred, wrapped",The fajitas that are ready in minutes.,"Fajitas, Shrimp Fajitas, Grilled Fajitas",Substitute shrimp with chicken; use any peppers.,"Title: Grilled Shrimp Fajitas. Taste: Citrusy shrimp, grilled peppers, onions. Texture: Grilled, charred, wrapped. Memory: The fajitas that are ready in minutes.. Similar dishes: Fajitas, Shrimp Fajitas, Grilled Fajitas"
Chive Pesto,"3 cups large garlic chives | ½ cup fresh basil leaves | 1 cup extra-virgin olive oil, or more to taste | 1 tablespoon garlic powder | 1 tablespoon dried oregano | 1 tablespoon dried basil | salt and ground black pepper to taste | ½ (8 ounce) package cream cheese",,chive_pesto.jpg,12,10.0,,"Garlicky chives, herby, nutty","Smooth, green, spreadable",The pesto that's perfect for garlic lovers.,"Pesto, Herb Pesto, Chive Sauce",Substitute chives with scallions; use any nuts.,"Title: Chive Pesto. Taste: Garlicky chives, herby, nutty. Texture: Smooth, green, spreadable. Memory: The pesto that's perfect for garlic lovers.. Similar dishes: Pesto, Herb Pesto, Chive Sauce"
Cantuccini,9 ounces all-purpose flour | 9 ounces superfine sugar | 2 medium eggs | 1 egg yolk | ½ teaspoon baking powder | ½ teaspoon vanilla extract | 2 ounces roughly chopped hazelnuts | 1 ½ ounces roughly chopped almonds | 1 teaspoon whole anise seeds | 1 egg yolk | 1 tablespoon water,,cantuccini.jpg,24,30.0,60.0,"Sweet, nutty, anise","Twice-baked, crunchy",The Italian cookies perfect for dipping in wine.,"Biscotti, Cantuccini, Italian Cookies",Substitute anise with vanilla; use any nuts.,"Title: Cantuccini. Taste: Sweet, nutty, anise. Texture: Twice-baked, crunchy. Memory: The Italian cookies perfect for dipping in wine.. Similar dishes: Biscotti, Cantuccini, Italian Cookies"
Easy Eggnog Creme Brulee,4 egg yolks | 1 tablespoon white sugar | 1 cup eggnog | 1 cup heavy whipping cream | 1 teaspoon vanilla extract | 4 tablespoons white sugar,,easy_eggnog_creme_brulee.jpg,4,10.0,60.0,"Rich eggnog, vanilla, caramelized sugar",Silky custard with crackly top,The creme brulee that tastes like Christmas.,"Creme Brulee, Eggnog Dessert, Custard",Substitute eggnog with any flavored milk; use any sugar.,"Title: Easy Eggnog Creme Brulee. Taste: Rich eggnog, vanilla, caramelized sugar. Texture: Silky custard with crackly top. Memory: The creme brulee that tastes like Christmas.. Similar dishes: Creme Brulee, Eggnog Dessert, Custard"
Buffalo Chicken Bites,"1 cup all-purpose flour | 2 tablespoons cayenne pepper | 1 teaspoon salt | 1 teaspoon ground black pepper | 2 large eggs | 1 cup vegetable oil | 1 pound skinless, boneless chicken breast halves, cut into 1-inch pieces | ¼ cup hot sauce | 1 tablespoon chopped garlic | 1 teaspoon butter",,buffalo_chicken_bites.jpg,6,15.0,15.0,"Spicy buffalo, crispy chicken, buttery","Crispy, tender, saucy",The boneless wings that are perfect for game day.,"Buffalo Wings, Chicken Bites, Spicy Chicken",Substitute chicken with cauliflower; use any hot sauce.,"Title: Buffalo Chicken Bites. Taste: Spicy buffalo, crispy chicken, buttery. Texture: Crispy, tender, saucy. Memory: The boneless wings that are perfect for game day.. Similar dishes: Buffalo Wings, Chicken Bites, Spicy Chicken"
Chicken Leg Toast,"2 chicken drumsticks | ¼ cup diced carrot | ¼ cup diced celery | ¼ cup diced onion | 2 cups chicken broth | freshly ground black pepper to taste | 1 teaspoon salt, or to taste | 1 teaspoon fresh thyme leaves | 1 teaspoon lemon zest | cayenne pepper to taste | ⅓ cup creme fraiche or heavy cream | 2 large eggs | 2 thick slices day old French bread (1 to 1 1/2 inch thick) | 1 tablespoon butter for browning bread, plus a teaspoon for greasing pan | 2 tablespoons grated Parmigiano-Reggiano cheese | ¼ cup maple syrup | 1 tablespoon Sriracha sauce | ½ teaspoon cayenne pepper",,chicken_leg_toast.jpg,2,20.0,70.0,"Savory chicken, creamy, poached egg",Crispy toast with tender chicken,The fancy open-faced sandwich that's worth the effort.,"Chicken Toast, Open-Faced Sandwich, Brunch Dish",Substitute chicken with turkey; use any eggs.,"Title: Chicken Leg Toast. Taste: Savory chicken, creamy, poached egg. Texture: Crispy toast with tender chicken. Memory: The fancy open-faced sandwich that's worth the effort.. Similar dishes: Chicken Toast, Open-Faced Sandwich, Brunch Dish"
Fatayer (Lebanese Meat Pies),"1 tablespoon vegetable oil | 2 pounds round steak, cut into small pieces | 2 large onion, chopped | ½ cup snipped fresh parsley | salt and ground black pepper to taste | 2 (1 pound) loaves frozen bread dough, thawed | 1 tablespoon butter, melted",,fatayer_lebanese_meat_pies.jpg,16,35.0,25.0,"Savory beef, herby, flaky pastry","Flaky, filled, hand-held",The Lebanese pies that are perfect for parties.,"Meat Pies, Lebanese Pies, Middle Eastern Pastries",Substitute beef with lamb; use any herbs.,"Title: Fatayer (Lebanese Meat Pies). Taste: Savory beef, herby, flaky pastry. Texture: Flaky, filled, hand-held. Memory: The Lebanese pies that are perfect for parties.. Similar dishes: Meat Pies, Lebanese Pies, Middle Eastern Pastries"
French Fries in the Air Fryer,"nonstick cooking spray | 1 medium russet potato (about 6 ounces), unpeeled | 1 teaspoon olive oil | ½ teaspoon kosher salt, or more to taste | freshly ground black pepper to taste",,french_fries_in_the_air_fryer.jpg,2,10.0,15.0,"Potatoey, salty, perfect",Crispy without the oil,The fries that are ready in 15 minutes.,"French Fries, Air Fryer Fries, Potato Fries",Substitute russet with sweet potato; use any seasoning.,"Title: French Fries in the Air Fryer. Taste: Potatoey, salty, perfect. Texture: Crispy without the oil. Memory: The fries that are ready in 15 minutes.. Similar dishes: French Fries, Air Fryer Fries, Potato Fries"
Confetti Puffed Corn,"1 (20 ounce) package white almond bark, cut into small chunks | 2 (3.25 ounce) packages butter-flavored puffed corn (such as Puffcorn) | 1 tablespoon multicolored candy sprinkles, or as needed",,confetti_puffed_corn.jpg,7,5.0,5.0,"Sweet vanilla, buttery, colorful","Crunchy, coated, festive",The party snack that's as fun as it looks.,"Puffed Corn, Puppy Chow, Party Mix",Substitute almond bark with white chocolate; use any sprinkles.,"Title: Confetti Puffed Corn. Taste: Sweet vanilla, buttery, colorful. Texture: Crunchy, coated, festive. Memory: The party snack that's as fun as it looks.. Similar dishes: Puffed Corn, Puppy Chow, Party Mix"
Simple Salami Sandwich,"1 hoagie bun, toasted and split | 1 teaspoon yellow mustard | 6 salami | 2 slices Colby-Jack cheese | 2 slices tomato | 1 leaf red leaf lettuce | 2 teaspoons sliced ripe olives, drained | 2 teaspoons sliced green olives with pimiento | 2 teaspoons zesty Italian-style salad dressing",,simple_salami_sandwich.jpg,1,10.0,,"Salami, cheese, olives, Italian dressing",Crusty bread with fillings,The Italian sub that's simple perfection.,"Italian Sub, Salami Sandwich, Hoagie",Substitute any meats; use any cheese.,"Title: Simple Salami Sandwich. Taste: Salami, cheese, olives, Italian dressing. Texture: Crusty bread with fillings. Memory: The Italian sub that's simple perfection.. Similar dishes: Italian Sub, Salami Sandwich, Hoagie"
Eggnog Bread Pudding with Coquito Sauce,5 cups cubed bread | ¼ cup raisins | 2 ¼ cups eggnog | 4 large eggs | ⅓ cup white sugar | 1 teaspoon vanilla extract | 1 cup packed brown sugar | ½ cup unsalted butter | ½ cup heavy cream | 3 tablespoons coconut-flavored rum,,eggnog_bread_pudding_with_coquito_sauce.jpg,10,10.0,45.0,"Spiced eggnog, rum, creamy sauce","Soft, custardy, sauced",The holiday bread pudding that's extra special.,"Bread Pudding, Eggnog Dessert, Coquito Dessert",Substitute eggnog with any milk; use any rum.,"Title: Eggnog Bread Pudding with Coquito Sauce. Taste: Spiced eggnog, rum, creamy sauce. Texture: Soft, custardy, sauced. Memory: The holiday bread pudding that's extra special.. Similar dishes: Bread Pudding, Eggnog Dessert, Coquito Dessert"
Orzo and Broccoli Salad (No Mayo),"1 ½ cups uncooked orzo pasta | 1 bunch fresh broccoli, cut into florets | ¼ cup olive oil | 3 tablespoons pine nuts | ½ teaspoon crushed red pepper flakes | ¾ cup sliced black olives | ½ cup grated Parmesan cheese | ¼ cup chopped fresh basil | 3 ½ ounces crumbled feta cheese | salt and ground black pepper to taste",,orzo_and_broccoli_salad_no_mayo.jpg,6,10.0,15.0,"Herby, nutty, cheesy, fresh",Pasta salad with crunch,The no-mayo pasta salad that's perfect for picnics.,"Pasta Salad, Broccoli Salad, Orzo Salad",Substitute orzo with any small pasta; use any cheese.,"Title: Orzo and Broccoli Salad (No Mayo). Taste: Herby, nutty, cheesy, fresh. Texture: Pasta salad with crunch. Memory: The no-mayo pasta salad that's perfect for picnics.. Similar dishes: Pasta Salad, Broccoli Salad, Orzo Salad"
Vegetarian French Onion Soup,"2 tablespoons salted butter | 2 tablespoons olive oil | 2 large red onions, thinly sliced | 2 large sweet onions, thinly sliced | 2 teaspoons kosher salt | 1 teaspoon white sugar | 4 cups mushroom broth (such as Pacific Foods) | ⅔ cup fino dry sherry | 1 tablespoon vegan Worcestershire sauce (such as The Wizard's) | 2 teaspoons dried parsley | 2 teaspoons herbes de Provence | 2 bay leaves | 1 tablespoon balsamic vinegar | 1 (1 ounce) piece Parmesan cheese rind | salt and ground black pepper to taste | 8 French baguette slices | ¾ cup grated Gruyère cheese | ½ cup grated Parmesan cheese",,vegetarian_french_onion_soup.jpg,4,20.0,120.0,"Rich onion, savory broth, cheesy",Brothy with melted cheese toast,The classic made meatless without losing flavor.,"French Onion Soup, Onion Soup, Vegetarian Soup",Substitute mushroom broth with vegetable; use any cheese.,"Title: Vegetarian French Onion Soup. Taste: Rich onion, savory broth, cheesy. Texture: Brothy with melted cheese toast. Memory: The classic made meatless without losing flavor.. Similar dishes: French Onion Soup, Onion Soup, Vegetarian Soup"
Lutefisk,"1 quart water | 1 ½ tablespoons salt | 1 pound dried lutefisk | 2 tablespoons unsalted butter, melted",,lutefisk.jpg,4,5.0,10.0,"Mild, buttery, traditional","Jelly-like, tender",The Scandinavian tradition that's an acquired taste.,"Scandinavian Fish, Dried Fish, Traditional Dish",This is traditional; substitutions not recommended.,"Title: Lutefisk. Taste: Mild, buttery, traditional. Texture: Jelly-like, tender. Memory: The Scandinavian tradition that's an acquired taste.. Similar dishes: Scandinavian Fish, Dried Fish, Traditional Dish"
Tieton Apricot Tart with Basil Custard,"1 ¼ cups all-purpose flour | 1 cup whole wheat flour | 1 cup almond meal | 1 tablespoon white sugar | 1 teaspoon lemon zest | ½ teaspoon salt | ¾ cup butter | 3 tablespoons buttermilk | 10 large egg yolks | ⅔ cup white sugar | ⅔ cup cornstarch | 1 quart milk | 3 sprigs fresh basil | ½ teaspoon vanilla extract | 15 fresh apricots, pitted and sliced | 1 cup apricot jam",,tieton_apricot_tart_with_basil_custard.jpg,24,50.0,30.0,"Sweet apricot, herbal basil custard","Flaky crust, creamy custard",The summer tart that's unexpectedly herbaceous.,"Fruit Tart, Apricot Tart, Basil Dessert",Substitute apricots with peaches; use any herbs.,"Title: Tieton Apricot Tart with Basil Custard. Taste: Sweet apricot, herbal basil custard. Texture: Flaky crust, creamy custard. Memory: The summer tart that's unexpectedly herbaceous.. Similar dishes: Fruit Tart, Apricot Tart, Basil Dessert"
Spicy Mezcal Margarita,"1 tablespoon white sugar | 1 teaspoon kosher salt | 1 lime wedge | 1 jalapeño pepper, seeded and roughly chopped | 1 ½ teaspoons white sugar | ½ cup freshly squeezed orange juice | ¼ cup mezcal | 3 tablespoons freshly squeezed lime juice",,spicy_mezcal_margarita.jpg,2,15.0,,"Smoky mezcal, spicy jalapeño, citrus","Smoky, spicy, cold",The margarita that brings the heat.,"Mezcal Margarita, Spicy Margarita, Smoky Cocktail",Substitute mezcal with tequila; use any chile.,"Title: Spicy Mezcal Margarita. Taste: Smoky mezcal, spicy jalapeño, citrus. Texture: Smoky, spicy, cold. Memory: The margarita that brings the heat.. Similar dishes: Mezcal Margarita, Spicy Margarita, Smoky Cocktail"
Chimichurri Roasted Potatoes,"2 pounds red potatoes, cut into 1 1/2-inch cubes | 4 tablespoons olive oil, divided | salt and ground black pepper to taste | ½ bunch Italian parsley, chopped | ½ bunch fresh basil, chopped | 4 medium garlic cloves, minced | 2 tablespoons red wine vinegar",,chimichurri_roasted_potatoes.jpg,4,15.0,35.0,"Herby chimichurri, crispy potatoes","Crispy exterior, fluffy interior",The potatoes that are perfect with steak.,"Roasted Potatoes, Chimichurri Potatoes, Argentine Potatoes",Substitute parsley with cilantro; use any vinegar.,"Title: Chimichurri Roasted Potatoes. Taste: Herby chimichurri, crispy potatoes. Texture: Crispy exterior, fluffy interior. Memory: The potatoes that are perfect with steak.. Similar dishes: Roasted Potatoes, Chimichurri Potatoes, Argentine Potatoes"
Sekanjabin (Iranian Mint Vinegar Syrup),8 cups orange blossom honey | 5 cups water | 2 cups white wine vinegar | 12 large sprigs fresh mint,,sekanjabin_iranian_mint_vinegar_syrup.jpg,32,10.0,20.0,"Sweet honey, tangy vinegar, fresh mint","Syrupy, refreshing",The ancient Persian drink that's perfect for summer.,"Mint Syrup, Vinegar Drink, Persian Beverage",Substitute honey with sugar; use any mint.,"Title: Sekanjabin (Iranian Mint Vinegar Syrup). Taste: Sweet honey, tangy vinegar, fresh mint. Texture: Syrupy, refreshing. Memory: The ancient Persian drink that's perfect for summer.. Similar dishes: Mint Syrup, Vinegar Drink, Persian Beverage"
Rose Pavlova Cakes,"3 egg whites, at room temperature | 1 teaspoon dried rose petal powder (Optional) | ½ cup white sugar, or more to taste | 1 teaspoon vanilla extract, or to taste | ½ teaspoon rose extract, or to taste | 1 teaspoon cornstarch | 1 ½ tablespoons cream cheese | 1 cup heavy whipping cream | 2 tablespoons white sugar | 1 tablespoon dried rose petals (Optional)",,rose_pavlova_cakes.jpg,18,25.0,75.0,"Floral rose, sweet meringue, creamy","Crisp shell, soft center",The romantic dessert that tastes like roses.,"Pavlova, Rose Dessert, Meringue Cake",Substitute rose with lavender; use any berries.,"Title: Rose Pavlova Cakes. Taste: Floral rose, sweet meringue, creamy. Texture: Crisp shell, soft center. Memory: The romantic dessert that tastes like roses.. Similar dishes: Pavlova, Rose Dessert, Meringue Cake"
Tempeh Gyros,"1 cup vegetable broth | 2 tablespoons soy sauce | 2 tablespoons lemon juice | 2 teaspoons dried oregano | 2 teaspoons ground thyme | 1 ½ teaspoons minced garlic | 1 pinch pink Himalayan salt | 1 pinch ground black pepper | 1 (8 ounce) package tempeh | 4 (6 inch) whole wheat pitas | 2 small cucumbers, peeled and grated | 1 (12.3 ounce) package silken tofu | 1 tablespoon (packed) fresh dill | 1 teaspoon minced garlic | salt and ground black pepper to taste | 2 tomatoes, sliced | ½ red onion, thinly sliced",,tempeh_gyros.jpg,4,20.0,50.0,"Savory tempeh, tzatziki, fresh vegetables",Grilled tempeh in pita,The vegan gyro that satisfies the craving.,"Gyros, Tempeh Sandwich, Vegan Greek",Substitute tempeh with seitan; use tofu tzatziki.,"Title: Tempeh Gyros. Taste: Savory tempeh, tzatziki, fresh vegetables. Texture: Grilled tempeh in pita. Memory: The vegan gyro that satisfies the craving.. Similar dishes: Gyros, Tempeh Sandwich, Vegan Greek"
